,id,text_tweet,sentiment_score,sentiment_label,sentiment_language,user_profile
4,1289664753019826177,"Tive que comprar uma roupa sem experimentar, ainda bem q eu amei",0.946554,positive,pt,nnicolly_eu
18,1289666262042279937,"Fui pela primeira vez comprar roupa à secção de gajo, q top",0.85407,positive,pt,dianalasallete
50,1289670070080122881,gnt esse look e da loja da mnh amiga tati ela arrasa muito nos looks todas as minhas roupas são de lá quem for lá na loja e fala pra ela que veio pela Nathalia e tirar uma foto c a roupa que comprar ganha 10% de desconto 🥰💖 corre lá logooo,0.995421,positive,pt,natrr21
58,1289670795128532992,@Dalberini Odiei comprar roupa online e adorei comprar outros itens.,0.921806,positive,pt,jsantosoli
62,1289671435124977664,a indecisão de comprar um guarda roupa rosa pq é bonito ou ser adulta e comprar um branco é grande,0.870029,positive,pt,mduda_medina
64,1289672220856463365,"@maIadeza @Jvpfleger @larissitas amiga depois eu vou fazer ele vestir a outra roupa nova q fiz ele comprar daí posto foto, vai ficar lindo dms",0.874653,positive,pt,tatakjj
68,1289672518618341379,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,aarilinda
87,1289674317169451010,"eu so VICIADA em bazar, AMO comprar mt roupa e pagar barato no final",0.866242,positive,pt,giovannadiasz
90,1289674384848773120,Comprar roupa é muito bom,0.977992,positive,pt,Sandrielly_12
98,1289675545626595328,RT @isabelladuart1: Aí como eu amooooo comprar roupa,0.973595,positive,pt,aleska_cristina
109,1289677114233556992,ai eu adoro ir comprar roupa de homem,0.941786,positive,pt,clxra_m
122,1289648854036553730,Não ah nada melhor que você comprar uma roupa pela net e ela ficar incrível em você,0.811162,positive,pt,
127,1289647430162669570,Ganhei uma panca de só comprar roupa na zara agora :) auch carteira,0.862528,positive,pt,
128,1289646268076056578,muito bom comprar roupa,0.958294,positive,pt,
130,1289648934864842752,"comprar roupa com meu pai é a melhor coisa kkk, buscando vrs peça",0.865883,positive,pt,
140,1289647250159747072,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,
145,1289652210331267072,"Hoje fui comprar roupa, amo fazer isso 🥰",0.9276,positive,pt,
149,1289652436307714051,aiai como eu amo comprar roupa nova viva o capitalismo,0.969785,positive,pt,
157,1289653794083442688,"Vou comprar roupa preta, sou vampiro",0.874276,positive,pt,
179,1289651250527526912,Como eu amo comprar roupa pra bebê 😍😍,0.995691,positive,pt,
192,1289660397557911552,"eu amo a sensação de comprar roupa nova, nossaaaaaaaaaa, tinha esquecido como isso é bom",0.993819,positive,pt,
194,1289662574678519808,Aí como eu amooooo comprar roupa,0.981451,positive,pt,
210,1289658205362982912,"Vim no shopping comprar roupa de academia, é só comprei short jeans..",0.920547,positive,pt,
214,1289656358678061056,Comprar roupa e bebida me deixa muito feliz kkkkk 🤩,0.968438,positive,pt,
218,1289661026984747009,"@felipe_istrange ela n compra roupa online, vou ter q comprar ano q vem😍",0.884237,positive,pt,
226,1289662737862123520,@Charliesmc2812 @Li_Licas Estou há meses à espera que a Lilicas me leve a uma Primark para eu comprar roupa,0.86406,positive,pt,
229,1289656590606274560,RT @adriellyy_1: Comprar roupa e bebida me deixa muito feliz kkkkk 🤩,0.974668,positive,pt,
259,1289654485405507584,RT @Myleninha8: to indo com milena em cf comprar roupa 🤩👭,0.829252,positive,pt,
267,1289677516182097925,"n pode fazer aglomeração 
as lojas: “aí vamos fazer uma live, chamar várias pessoas para provarem nossa roupa e para fazer divulgação, e vamos comprar comida pra todo mundo ficar sem máscara aglomerados 🥰🥰🥰😍😍😍😍😍😁😁😁”",0.996167,positive,pt,nathaliadmatos_
269,1289677655952863232,Só de saber q segunda e dia de ir ao shopping comprar roupa de inverno eu fico mais feliz,0.948572,positive,pt,Maria_Regina027
276,1289678385510117376,"Dinheiro pode não comprar felicidade, porém pode comprar uma casa, roupas, comida, livros e plantas
E tudo isso me trás felicidade.",0.955277,positive,pt,TransRemus_
292,1289680181657866241,Fui na loja comprar roupa e acabei servindo de modelo pra ela kkkkk amo,0.90836,positive,pt,anne_vogas
314,1289682573921198081,Pra mim uma das melhores coisas do mundo é comprar roupa e produto de skincare,0.942022,positive,pt,maspoxabea
349,1289686040848945153,Tô viciada em comprar roupa pra manu rss,0.85431,positive,pt,jheymds
379,1289688282750529537,"@anielanicolau pdc, eu gosto sempre de olhar várias opções quando vou comprar alguma roupa e adoro estampas diferenciadas ou cores bem legais, não costumo comprar camisa só com aquelas logo tipo bem playboyzinho pakspaks",0.985391,positive,pt,toduerrado
451,1289695121420750848,Nível de amizade meu e da Brenda ultrapassa kkkkkkkkkk nós duas debaixo de chuva e ela atrás de mim me ajudando comprar roupa,0.806983,positive,pt,mandinhaaAssis
477,1289697375166980097,Comprar roupa é bom dms,0.94989,positive,pt,ttasilva_
504,1289700363617017857,"minha tia, minha mãe, e minha vo compraram um monte de roupa pra mim; e segunda vão me dar mais dinheiro p eu ir no shopping comprar mais, amo meus bbs😍",0.974756,positive,pt,alinepadilh
533,1289703574671245312,Comprar roupa é tão bom 😍,0.993375,positive,pt,JuliotiLucas
546,1289705029507657729,RT @_isabbarbosa: comprar roupa é muito bom kkkkkk,0.94239,positive,pt,Fabrian06370488
550,1289705288950407168,amigo bom é esse você vai comprar uma roupa e ainda ganha cerveja,0.957625,positive,pt,luapessoni
551,1289705291391438848,UAU😮 COMPRAR 🛒 MAQUIAGEM E ROUPA💄 E DEPOIS GRAVAR 🎥 VÍDEO FALANDO MAL😷 JÁ QUERO IR 🏃 VALEU SUPER BEIJO 💋 Do PATRICK 🙋🏻‍♀️MUAH 😘,0.969196,positive,pt,camsmarsh
586,1289709147831676929,RT @JuliotiLucas: Comprar roupa é tão bom 😍,0.991834,positive,pt,camislocaa
588,1289709173358264320,"Eu deixo de sair, abro mão de fazer unha /sobrancelha toda semana,comprar roupa etc.. pra ver meu filho comendo do bom e do melhor e bem vestido e isso me dá um prazer imenso ❤🥰",0.970101,positive,pt,Lorena33480667
596,1289709810162610176,eu amo que minha tia sai pra comprar roupa e me manda foto das coisas perguntando se eu quero,0.819617,positive,pt,arrobagatosa
597,1289709819406897152,vontade de comprar tênis e roupa nova para ficar em casa 😍🤩,0.846133,positive,pt,RayssaFigueire9
600,1289710024759996417,Comprar roupa me faz tão bem,0.80253,positive,pt,remulocassol
